;fl_date;mkt_carrier_fl_num;origin_city_name;dest_city_name;distance;dep_delay;arr_delay;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay
0;2019-11-14;4696;Jacksonville, FL;Miami, FL;335.0;-3.0;19.0;0.0;0.0;19.0;0.0;0.0
1;2019-11-14;4696;Miami, FL;Jacksonville, FL;335.0;-4.0;-4.0;;;;;
2;2019-11-14;4697;Burlington, VT;Washington, DC;437.0;-7.0;-12.0;;;;;
3;2019-11-14;4698;Washington, DC;Portland, ME;482.0;-6.0;-15.0;;;;;
4;2019-11-14;4698;Portland, ME;Washington, DC;482.0;-3.0;-1.0;;;;;
5;2019-11-14;4699;Detroit, MI;New York, NY;502.0;-10.0;-20.0;;;;;
6;2019-11-14;4699;New York, NY;Detroit, MI;502.0;-5.0;-12.0;;;;;
7;2019-11-14;4700;Detroit, MI;New York, NY;502.0;-7.0;-6.0;;;;;
8;2019-11-14;4700;New York, NY;Detroit, MI;502.0;2.0;-4.0;;;;;
9;2019-11-14;4702;Atlanta, GA;Washington, DC;547.0;-9.0;3.0;;;;;
10;2019-11-14;4702;Washington, DC;Atlanta, GA;547.0;-9.0;-11.0;;;;;
11;2019-11-14;4703;New York, NY;Richmond, VA;292.0;-4.0;-8.0;;;;;
12;2019-11-14;4704;Washington, DC;Columbus, OH;323.0;-4.0;-10.0;;;;;
13;2019-11-14;4705;Jacksonville, FL;Philadelphia, PA;742.0;0.0;-13.0;;;;;
14;2019-11-14;4708;Nashville, TN;New York, NY;764.0;5.0;13.0;;;;;
15;2019-11-14;4708;New York, NY;Nashville, TN;764.0;13.0;11.0;;;;;
16;2019-11-14;4709;Key West, FL;Miami, FL;126.0;1.0;-4.0;;;;;
17;2019-11-14;4709;Miami, FL;Key West, FL;126.0;-3.0;14.0;;;;;
18;2019-11-14;4710;Burlington, VT;Washington, DC;437.0;-10.0;-25.0;;;;;
19;2019-11-14;4710;Washington, DC;Burlington, VT;437.0;-3.0;-12.0;;;;;
20;2019-11-14;4713;Philadelphia, PA;Nashville, TN;675.0;-6.0;1.0;;;;;
21;2019-11-14;4714;Nashville, TN;Philadelphia, PA;675.0;-3.0;-22.0;;;;;
22;2019-11-14;4231;Chicago, IL;Jacksonville, FL;864.0;-10.0;-12.0;;;;;
23;2019-11-14;4232;Lubbock, TX;Houston, TX;458.0;-9.0;-20.0;;;;;
24;2019-11-14;4233;Newark, NJ;Washington, DC;199.0;-6.0;-8.0;;;;;
25;2019-11-14;4234;Newark, NJ;St. Louis, MO;872.0;29.0;27.0;27.0;0.0;0.0;0.0;0.0
26;2019-11-14;4235;New York, NY;Cleveland, OH;419.0;-5.0;1.0;;;;;
27;2019-11-14;4236;Houston, TX;Lafayette, LA;201.0;19.0;26.0;19.0;0.0;7.0;0.0;0.0
28;2019-11-14;4237;Houston, TX;Tulsa, OK;429.0;-5.0;-2.0;;;;;
29;2019-11-14;4238;Newark, NJ;Norfolk, VA;284.0;-6.0;-6.0;;;;;
30;2019-11-14;4239;Wichita, KS;Houston, TX;542.0;-3.0;-9.0;;;;;
31;2019-11-14;4240;Indianapolis, IN;Newark, NJ;645.0;-10.0;-14.0;;;;;
32;2019-11-14;4241;Washington, DC;Newark, NJ;199.0;-7.0;-8.0;;;;;
33;2019-11-14;4242;Houston, TX;St. Louis, MO;667.0;-3.0;5.0;;;;;
34;2019-11-14;4244;Cincinnati, OH;Chicago, IL;264.0;60.0;47.0;47.0;0.0;0.0;0.0;0.0
35;2019-11-14;4245;Buffalo, NY;Newark, NJ;282.0;233.0;239.0;159.0;0.0;6.0;0.0;74.0
36;2019-11-14;4246;Houston, TX;Laredo, TX;301.0;-8.0;-11.0;;;;;
37;2019-11-14;4247;Houston, TX;Lafayette, LA;201.0;19.0;21.0;2.0;0.0;11.0;0.0;8.0
38;2019-11-14;4249;Lafayette, LA;Houston, TX;201.0;-9.0;-2.0;;;;;
39;2019-11-14;4250;Houston, TX;Mobile, AL;427.0;-4.0;-7.0;;;;;
40;2019-11-14;4252;Pensacola, FL;Houston, TX;489.0;-7.0;-21.0;;;;;
41;2019-11-14;4254;Newark, NJ;St. Louis, MO;872.0;-4.0;-10.0;;;;;
42;2019-11-14;4257;Newark, NJ;Cleveland, OH;404.0;-11.0;-23.0;;;;;
43;2019-11-14;4258;Amarillo, TX;Houston, TX;517.0;-5.0;0.0;;;;;
44;2019-11-14;4259;Houston, TX;Shreveport, LA;192.0;-7.0;-17.0;;;;;
45;2019-11-14;4259;St. Louis, MO;Houston, TX;667.0;-6.0;-15.0;;;;;
46;2019-11-14;4261;St. Louis, MO;Houston, TX;667.0;-7.0;-16.0;;;;;
47;2019-11-14;4262;Houston, TX;Indianapolis, IN;844.0;4.0;-2.0;;;;;
48;2019-11-14;4264;Houston, TX;Lake Charles, LA;127.0;-9.0;-16.0;;;;;
49;2019-11-14;4264;St. Louis, MO;Houston, TX;667.0;-9.0;-11.0;;;;;
50;2019-11-14;4265;Chicago, IL;Little Rock, AR;552.0;-8.0;-7.0;;;;;
51;2019-11-14;4266;Little Rock, AR;Houston, TX;374.0;27.0;23.0;0.0;0.0;0.0;0.0;23.0
52;2019-11-14;4267;Chicago, IL;Charlotte, NC;599.0;-2.0;5.0;;;;;
53;2019-11-14;4268;Baton Rouge, LA;Houston, TX;253.0;25.0;28.0;0.0;0.0;3.0;0.0;25.0
54;2019-11-14;4270;Houston, TX;Tulsa, OK;429.0;-5.0;15.0;0.0;0.0;15.0;0.0;0.0
55;2019-11-14;4271;Jackson/Vicksburg, MS;Houston, TX;351.0;-18.0;-37.0;;;;;
56;2019-11-14;4272;Madison, WI;Newark, NJ;799.0;-5.0;-7.0;;;;;
57;2019-11-14;4273;Lincoln, NE;Chicago, IL;466.0;-8.0;2.0;;;;;
58;2019-11-14;4274;Newark, NJ;Norfolk, VA;284.0;0.0;15.0;0.0;0.0;15.0;0.0;0.0
59;2019-11-14;4277;Norfolk, VA;Newark, NJ;284.0;46.0;33.0;0.0;0.0;33.0;0.0;0.0
60;2019-11-14;4279;Newark, NJ;Greer, SC;594.0;-5.0;4.0;;;;;
61;2019-11-14;4280;Amarillo, TX;Houston, TX;517.0;-10.0;7.0;;;;;
62;2019-11-14;4280;Houston, TX;Gulfport/Biloxi, MS;376.0;-9.0;-5.0;;;;;
63;2019-11-14;4284;Chicago, IL;St. Louis, MO;258.0;54.0;42.0;42.0;0.0;0.0;0.0;0.0
64;2019-11-14;4285;Chicago, IL;Lincoln, NE;466.0;-7.0;-12.0;;;;;
65;2019-11-14;4287;Chicago, IL;Peoria, IL;130.0;-11.0;-17.0;;;;;
66;2019-11-14;4291;Detroit, MI;Chicago, IL;235.0;-5.0;15.0;0.0;0.0;15.0;0.0;0.0
67;2019-11-14;4291;Chicago, IL;New York, NY;733.0;-8.0;-22.0;;;;;
68;2019-11-14;4294;Newark, NJ;Savannah, GA;708.0;-8.0;-11.0;;;;;
69;2019-11-14;4295;Lafayette, LA;Houston, TX;201.0;-9.0;-25.0;;;;;
