cust_id;tran_id;tran_amt;principal_amt;interest_amt;new_balance;tran_date;tran_time;channel;tran_code
1363481;26;-0.15;-0.15;0.00;58.99;29.1.1995;            ;  ;FK  
1362784;90;-200.00;-200.00;0.00;1380.69;2.7.1995;53313;A ;WD  
1363088;46;0.00;0.00;0.00;128.35;26.3.1995;834;A ;IQ  
1363306;32;-40.32;-40.32;0.00;433.06;29.1.1995;            ;P ;WD  
1363251;11;-87.88;-87.88;0.00;1919.55;8.2.1995;            ;P ;WD  
1363303;20;-58.58;-58.58;0.00;2660.59;25.2.1995;            ;P ;WD  
1362981;39;-311.06;-311.06;0.00;564.99;7.9.1995;160041;A ;TR  
1363216;97;-45.11;-45.11;0.00;480.60;22.1.1995;            ;P ;WD  
1363253;62;0.94;0.00;0.94;751.88;30.6.1995;235959;  ;IN  
1363442;16;-0.75;-0.75;0.00;4776.26;15.1.1995;115613;  ;FU  
1362959;10;-258.17;-258.17;0.00;1569.64;4.1.1995;            ;P ;WD  
1362928;41;0.00;0.00;0.00;420.42;3.2.1995;154333;C ;IQ  
1363066;49;-0.15;-0.15;0.00;24.47;23.2.1995;            ;  ;FK  
1362746;1;-126.72;-126.72;0.00;22.59;23.8.1995;            ;P ;WD  
1363393;14;0.00;0.00;0.00;17.29;10.1.1995;91047;C ;IQ  
1362964;98;-42.77;-42.77;0.00;609.31;16.12.1995;155717;B ;WD  
1362557;85;0.00;0.00;0.00;125.96;4.10.1995;230103;V ;IQ  
1362897;93;-81.43;-81.43;0.00;81.42;26.8.1995;143001;V ;TR  
1363433;70;-10.00;-10.00;0.00;1913.92;30.11.1995;235959;  ;FP  
1362542;4;-0.15;-0.15;0.00;2483.62;8.2.1995;            ;  ;FK  
1363008;28;-128.23;-128.23;0.00;4602.30;17.5.1995;            ;P ;WD  
1363249;40;662.82;662.82;0.00;1399.37;14.1.1995;150516;A ;DP  
1362850;25;-78.82;-78.82;0.00;2424.44;6.11.1995;            ;P ;WD  
1363361;83;-22.44;-22.44;0.00;92.44;22.1.1995;            ;P ;WD  
1363107;9;-0.15;-0.15;0.00;24.43;10.1.1995;            ;  ;FK  
1363183;27;0.00;0.00;0.00;7375.04;15.1.1995;12518;A ;IQ  
1363123;15;-200.00;-200.00;0.00;8297.49;15.3.1995;155454;A ;WD  
1362609;12;-817.25;-817.25;0.00;1164.74;6.1.1995;115314;E ;TR  
1362674;89;-10.00;-10.00;0.00;937.35;31.5.1995;235959;  ;FP  
1363170;57;-103.57;-103.57;0.00;103.57;26.5.1995;            ;P ;WD  
1362662;16;-10.00;-10.00;0.00;2039.46;31.1.1995;235959;  ;FP  
1363168;55;2.4;0.00;2.4;1636.33;31.3.1995;235959;  ;IN  
1363270;90;-110.69;-110.69;0.00;123.56;24.1.1995;            ;P ;WD  
1363048;12;-387.81;-387.81;0.00;331.55;25.9.1995;            ;P ;WD  
1363208;58;-0.15;-0.15;0.00;42.57;1.6.1995;            ;  ;FK  
1363060;65;-0.75;-0.75;0.00;348.46;4.5.1995;85448;  ;FU  
1363387;11;195.55;195.55;0.00;383.26;5.1.1995;122632;E ;DP  
1363356;46;-19.37;-19.37;0.00;1852.64;24.12.1995;            ;P ;WD  
1362991;33;-18.90;-18.90;0.00;52.36;9.3.1995;            ;P ;WD  
1362926;18;-146.89;-146.89;0.00;3416.70;20.3.1995;91112;B ;TR  
1362905;2;3.38;0.00;3.38;2705.01;31.1.1995;235959;  ;IN  
1362782;71;-377.65;-377.65;0.00;1739.24;26.4.1995;115528;A ;TR  
1362771;88;-0.15;-0.15;0.00;210.33;24.1.1995;            ;  ;FK  
1362766;39;-486.63;-486.63;0.00;5658.10;17.9.1995;            ;P ;WD  
1362722;37;142.64;142.64;0.00;7321.69;20.8.1995;92423;A ;DP  
1363071;68;-126.08;-126.08;0.00;645.25;29.6.1995;            ;P ;WD  
1363442;97;-0.15;-0.15;0.00;404.75;15.4.1995;            ;  ;FK  
1362551;2;-89.70;-89.70;0.00;940.90;23.9.1995;            ;P ;WD  
1363247;67;-15.18;-15.18;0.00;15.18;1.2.1995;            ;P ;WD  
1362964;26;135.79;135.79;0.00;665.14;16.4.1995;82842;A ;DP  
1363076;14;-93.77;-93.77;0.00;1122.83;6.5.1995;            ;P ;WD  
1362649;21;-4.70;-4.70;0.00;143.08;24.2.1995;            ;P ;WD  
1363298;5;0.00;0.00;0.00;6256.37;2.1.1995;123951;C ;IQ  
1363178;81;-111.04;-111.04;0.00;111.05;18.2.1995;            ;P ;WD  
1363313;17;-57.37;-57.37;0.00;122.80;19.2.1995;            ;P ;WD  
1363326;48;0.00;0.00;0.00;3145.14;22.12.1995;34030;A ;IQ  
1363254;31;-0.15;-0.15;0.00;580.70;23.1.1995;            ;  ;FK  
1363037;71;93.49;93.49;0.00;1173.54;12.2.1995;231702;B ;DP  
1362680;7;-0.15;-0.15;0.00;399.36;9.1.1995;            ;  ;FK  
1363183;43;1327.76;1327.76;0.00;7091.36;20.1.1995;            ;M ;DP  
1362808;30;-331.87;-331.87;0.00;1129.48;2.1.1995;90020;V ;TR  
1362810;50;0.00;0.00;0.00;946.69;23.7.1995;111656;V ;IQ  
1363348;54;-338.28;-338.28;0.00;338.29;27.1.1995;223611;A ;TR  
1363165;84;-34.38;-34.38;0.00;34.37;27.2.1995;122719;A ;TR  
1362607;97;-211.92;-211.92;0.00;172.29;7.2.1995;2153;V ;TR  
1363038;21;-10.00;-10.00;0.00;7.55;31.8.1995;235959;  ;FP  
1363235;86;0.49;0.00;0.49;391.51;28.2.1995;235959;  ;IN  
1363082;2;-216.49;-216.49;0.00;4635.02;23.1.1995;            ;P ;WD  
1363297;28;-26.56;-26.56;0.00;26.57;20.1.1995;            ;P ;WD  
1363087;64;-26.61;-26.61;0.00;26.61;22.3.1995;114205;B ;WD  
1362784;53;-10.00;-10.00;0.00;1679.48;30.4.1995;235959;  ;FP  
1363458;85;-132.83;-132.83;0.00;201.14;16.3.1995;            ;P ;WD  
1363170;45;-87.73;-87.73;0.00;883.34;5.5.1995;            ;P ;WD  
1362693;34;-123.27;-123.27;0.00;188.41;5.5.1995;151505;A ;TR  
1362968;10;-4.42;-4.42;0.00;0.27;11.1.1995;            ;P ;WD  
1362551;39;-0.75;-0.75;0.00;14.81;10.11.1995;152019;  ;FU  
1362551;76;-0.15;-0.15;0.00;2273.26;23.12.1995;            ;  ;FK  
1363427;21;-89.34;-89.34;0.00;89.34;19.2.1995;            ;P ;WD  
1363183;59;-311.43;-311.43;0.00;2998.66;31.1.1995;190226;E ;TR  
1362641;47;-88.40;-88.40;0.00;1134.50;3.12.1995;            ;P ;WD  
1363167;17;201.37;201.37;0.00;5116.95;1.2.1995;            ;M ;DP  
1362480;56;-0.15;-0.15;0.00;48.86;21.1.1995;            ;  ;FK  
1363416;43;-0.15;-0.15;0.00;129.21;12.12.1995;            ;  ;FK  
1363452;40;-0.15;-0.15;0.00;12.46;19.3.1995;            ;  ;FK  
1362817;76;-40.00;-40.00;0.00;45.84;4.7.1995;85148;A ;WD  
1363436;2;-191.43;-191.43;0.00;353.39;24.1.1995;103458;E ;TR  
1362888;80;-547.16;-547.16;0.00;4722.92;29.1.1995;214716;V ;TR  
1362945;20;-0.15;-0.15;0.00;27.80;15.2.1995;            ;  ;FK  
1363083;76;-0.15;-0.15;0.00;404.45;20.4.1995;            ;  ;FK  
1362525;70;-140.00;-140.00;0.00;325.85;25.1.1995;91916;A ;WD  
1362657;77;-0.75;-0.75;0.00;32.01;31.12.1995;165946;  ;FU  
1363141;60;-0.15;-0.15;0.00;180.53;6.2.1995;            ;  ;FK  
1363216;76;-123.00;-123.00;0.00;202.87;18.1.1995;194823;A ;TR  
1362585;13;-29.95;-29.95;0.00;29.96;9.1.1995;            ;P ;WD  
1363457;34;-1404.17;-1404.17;0.00;4081.19;9.4.1995;204147;B ;TR  
1362711;32;-0.15;-0.15;0.00;36.95;12.8.1995;            ;  ;FK  
1362858;74;0.00;0.00;0.00;99.75;13.7.1995;201318;A ;IQ  
1363454;25;-33.35;-33.35;0.00;1025.48;7.2.1995;            ;P ;WD  
1363097;18;-10.00;-10.00;0.00;10.51;31.1.1995;235959;  ;FP  
1362975;7;-0.15;-0.15;0.00;594.84;3.1.1995;            ;  ;FK  
1362855;45;-94.90;-94.90;0.00;126.80;15.4.1995;            ;P ;WD  
1363073;93;-120.70;-120.70;0.00;573.78;14.2.1995;145344;C ;TR  
1363128;9;-46.74;-46.74;0.00;4102.59;13.4.1995;            ;P ;WD  
1362511;56;-0.15;-0.15;0.00;51.47;13.2.1995;            ;  ;FK  
1362759;14;-95.98;-95.98;0.00;323.93;6.1.1995;            ;P ;WD  
1363192;55;-0.15;-0.15;0.00;24.9;10.2.1995;            ;  ;FK  
1362568;67;-40.00;-40.00;0.00;854.90;3.11.1995;115530;A ;WD  
1362702;48;-80.00;-80.00;0.00;221.91;6.2.1995;144630;A ;WD  
1363342;96;-0.15;-0.15;0.00;58.13;6.2.1995;            ;  ;FK  
