cust_id;tran_id;tran_amt;principal_amt;interest_amt;new_balance;tran_date;tran_time;channel;tran_code
1363088;46;-121.49;-121.49;0.00;-141.00;20.10.1995;101144;E ;CG  
1363306;32;-220.64;-220.64;0.00;-520.13;13.10.1995;83115;E ;CG  
1362959;10;0.00;0.00;0.00;-3900.00;26.2.1995;84129;K ;IQ  
1363429;13;-195.27;-195.27;0.00;-1739.74;3.1.1995;191815;E ;CG  
1363393;14;-37.32;-37.32;0.00;-198.98;4.7.1995;100811;E ;CG  
1363303;20;-180.00;-180.00;0.00;-180.00;8.8.1995;203528;A ;CA  
1363008;28;-102.28;-102.28;0.00;-740.23;13.8.1995;122055;E ;CG  
1362928;41;-25.14;-25.14;0.00;-843.42;26.6.1995;200337;E ;CG  
1363107;9;-72.06;-72.06;0.00;-72.06;14.4.1995;181619;E ;CG  
1362746;1;558.73;544.12;14.61;-492.99;7.1.1995;            ;M ;PM  
1363123;15;-247.64;-247.64;0.00;-2800.00;15.6.1995;221224;E ;CG  
1362611;19;611.44;604.28;7.16;-362.22;4.5.1995;142249;C ;PM  
1363387;11;-88.44;-88.44;0.00;-1000.00;3.4.1995;113404;E ;CG  
1362542;4;86.53;77.31;9.22;-577.29;1.4.1995;214456;C ;PM  
1362991;33;467.66;462.00;5.66;-342.34;3.8.1995;            ;M ;PM  
1363249;40;0.00;0.00;0.00;-2117.51;23.4.1995;91327;B ;IQ  
1362905;2;-242.78;-242.78;0.00;-915.60;29.1.1995;182723;E ;CG  
1362609;12;-184.00;-184.00;0.00;-2631.72;28.2.1995;134637;E ;CG  
1363182;42;-271.36;-271.36;0.00;-3313.01;12.12.1995;4416;E ;CG  
1363356;46;230.15;224.59;5.56;-469.76;3.11.1995;            ;M ;PM  
1363076;14;750.08;749.35;0.73;-1117.36;2.4.1995;            ;M ;PM  
1362926;18;-223.91;-223.91;0.00;-707.04;21.5.1995;140434;E ;CG  
1363313;17;-33.09;-33.09;0.00;-91.62;25.8.1995;110337;E ;CG  
1363459;17;-49.97;-49.97;0.00;-1017.42;25.11.1995;230726;E ;CG  
1363254;31;-14.78;-14.78;0.00;-383.87;30.7.1995;205626;E ;CG  
1362766;39;-285.38;-285.38;0.00;-3840.12;6.11.1995;183236;E ;CG  
1363259;2;385.97;380.61;5.36;-157.75;5.1.1995;            ;M ;PM  
1362777;8;-265.65;-265.65;0.00;-1233.37;22.4.1995;210602;E ;CG  
1362680;7;-11.96;-11.96;0.00;-526.19;20.10.1995;84429;E ;CG  
1362964;26;101.28;88.44;12.84;-911.56;3.10.1995;            ;M ;PM  
1363348;54;-16.40;-16.40;0.00;-1800.00;25.10.1995;14108;E ;CG  
1362649;21;-128.52;-128.52;0.00;-1000.00;3.4.1995;143528;E ;CG  
1363297;28;-200.00;-200.00;0.00;-580.56;17.7.1995;121310;A ;CA  
1363312;19;-66.21;-66.21;0.00;-2204.64;17.10.1995;140939;E ;CG  
1363170;45;-41.68;-41.68;0.00;-99.04;8.10.1995;140626;E ;CG  
1363038;21;0.00;0.00;0.00;-1800.00;20.11.1995;155306;V ;IQ  
1363113;16;-242.39;-242.39;0.00;-448.47;29.12.1995;231444;E ;CG  
1363082;2;-253.72;-253.72;0.00;-786.30;30.1.1995;85441;E ;CG  
1362888;80;-200.00;-200.00;0.00;-1479.14;12.9.1995;200800;A ;CA  
1363427;21;318.23;276.48;41.75;-2884.08;7.11.1995;            ;M ;PM  
1362714;8;-44.23;-44.23;0.00;-145.47;14.2.1995;121208;E ;CG  
1363455;11;159.58;159.58;0.00;-2335.75;7.12.1995;            ;M ;PM  
1363457;34;-991.57;-991.57;0.00;-4951.33;18.8.1995;214819;E ;CG  
1362945;20;-60.00;-60.00;0.00;-647.36;13.6.1995;165514;A ;CA  
1362858;74;-719.41;-719.41;0.00;-1364.82;28.10.1995;141648;E ;CG  
1362525;70;-120.00;-120.00;0.00;-928.57;15.9.1995;104217;A ;CA  
1363097;18;-144.30;-144.30;0.00;-333.21;4.5.1995;84222;E ;CG  
1363454;25;640.92;632.44;8.48;-1364.35;6.5.1995;            ;M ;PM  
1363128;9;-198.43;-198.43;0.00;-198.43;12.7.1995;44149;E ;CG  
1362975;7;-200.27;-200.27;0.00;-453.62;29.3.1995;54343;E ;CG  
1362759;14;-28.73;-28.73;0.00;-288.32;14.2.1995;163327;E ;CG  
1363462;35;-40.00;-40.00;0.00;-2827.86;6.11.1995;211028;A ;CA  
1362698;36;0.00;0.00;0.00;-2500.00;28.10.1995;34444;A ;IQ  
1362694;40;-327.56;-327.56;0.00;-1184.60;19.9.1995;184139;E ;CG  
1362939;25;-28.53;-28.53;0.00;-804.73;2.6.1995;83547;E ;CG  
1362991;50;-100.00;-100.00;0.00;-385.06;8.11.1995;205836;A ;CA  
1363353;24;-486.09;-486.09;0.00;-1773.20;11.5.1995;141804;E ;CG  
1362587;20;230.07;225.47;4.60;-774.53;4.4.1995;            ;M ;PM  
1363170;33;-106.21;-106.21;0.00;-448.24;10.8.1995;93634;E ;CG  
1362597;46;-20.00;-20.00;0.00;-417.85;28.12.1995;183856;A ;CA  
1362875;17;219.57;187.09;32.48;-2708.02;4.7.1995;            ;M ;PM  
1362749;28;-80.82;-80.82;0.00;-2919.32;28.6.1995;92250;E ;CG  
1363352;1;580.49;570.62;9.87;-130.37;2.1.1995;142733;C ;PM  
1363462;8;208.59;178.21;30.38;-2572.63;4.4.1995;111928;A ;PM  
1362883;15;0.00;0.00;0.00;-996.87;28.8.1995;170458;A ;IQ  
1362936;13;44.03;41.73;2.30;-121.32;4.8.1995;60135;C ;PM  
1362784;16;0.00;0.00;0.00;-2164.19;17.4.1995;185704;B ;IQ  
1362562;26;0.00;0.00;0.00;-9500.00;11.12.1995;53021;B ;IQ  
1362485;47;-131.10;-131.10;0.00;-487.04;14.10.1995;185237;E ;CG  
1362766;1;-100.33;-100.33;0.00;-5100.00;2.1.1995;50031;E ;CG  
1363268;18;-129.93;-129.93;0.00;-1800.00;28.7.1995;102805;E ;CG  
1363280;60;-36.21;-36.21;0.00;-36.21;5.12.1995;120249;E ;CG  
1363017;37;-109.43;-109.43;0.00;-1000.00;22.8.1995;115631;E ;CG  
1362857;38;-27.63;-27.63;0.00;-460.58;15.8.1995;104445;E ;CG  
1363170;21;-97.00;-97.00;0.00;-362.40;18.6.1995;82020;E ;CG  
1363249;93;0.00;0.00;0.00;-2820.45;10.9.1995;222520;A ;IQ  
1362579;70;-180.00;-180.00;0.00;-1555.89;26.5.1995;120656;A ;CA  
1363196;63;0.00;0.00;0.00;-583.37;24.7.1995;181219;K ;IQ  
1363275;36;-52.10;-52.10;0.00;-476.43;13.8.1995;181910;E ;CG  
1362640;37;-84.68;-84.68;0.00;-663.58;25.7.1995;224304;E ;CG  
1362960;22;-200.00;-200.00;0.00;-8131.63;11.6.1995;195606;A ;CA  
1362990;6;-89.62;-89.62;0.00;-1140.43;1.2.1995;61531;E ;CG  
1363175;53;324.69;324.69;0.00;-228.99;4.9.1995;            ;M ;PM  
1363010;20;-32.21;-32.21;0.00;-490.44;2.6.1995;11907;E ;CG  
1362872;43;542.82;534.92;7.90;-465.08;2.8.1995;            ;M ;PM  
1362986;10;-273.33;-273.33;0.00;-311.07;3.9.1995;220056;E ;CG  
1362501;7;149.34;143.01;6.33;-306.40;7.7.1995;            ;M ;PM  
1362705;18;690.67;690.67;0.00;-195.40;5.6.1995;            ;M ;PM  
1362588;8;-201.58;-201.58;0.00;-632.07;22.2.1995;182712;E ;CG  
1363287;13;0.00;0.00;0.00;-908.72;25.5.1995;95706;A ;IQ  
1363266;30;-40.00;-40.00;0.00;-840.00;1.12.1995;212233;A ;CA  
1363327;28;183.12;165.81;17.31;-2400.39;4.9.1995;185137;C ;PM  
1363170;9;-141.78;-141.78;0.00;-427.66;5.4.1995;125638;E ;CG  
1362828;5;-19.42;-19.42;0.00;-543.08;7.2.1995;154416;E ;CG  
1362980;27;-173.24;-173.24;0.00;-759.44;13.6.1995;114820;E ;CG  
1362649;52;-134.85;-134.85;0.00;-576.43;16.7.1995;212759;E ;CG  
1362797;14;319.34;314.48;4.86;-30.28;1.8.1995;            ;M ;PM  
1363385;19;346.73;346.73;0.00;0.00;1.8.1995;            ;M ;PM  
1362736;6;-73.42;-73.42;0.00;-413.69;24.2.1995;135155;E ;CG  
1362714;39;477.11;477.11;0.00;-274.03;4.9.1995;205842;B ;PM  
1363457;15;2000.40;1990.93;9.47;-224.76;1.5.1995;            ;M ;PM  
