cust_id;tran_id;tran_amt;principal_amt;interest_amt;new_balance;tran_date;tran_time;channel;tran_code
1363481;26;136.03;136.03;0.00;1521.57;26.10.1995;84111;A ;DP  
1362746;1;2.83;0.00;2.83;2265.90;31.1.1995;235959;  ;IN  
1363251;11;13.56;0.00;13.56;5438.90;30.4.1995;235959;  ;IN  
1362542;4;0.76;0.00;0.76;610.92;30.4.1995;235959;  ;IN  
1363387;11;148.69;148.69;0.00;470.05;21.5.1995;144736;E ;DP  
1362609;12;-167.04;-167.04;0.00;360.76;3.8.1995;213122;B ;WD  
1362905;2;91.55;91.55;0.00;615.15;10.2.1995;132042;B ;DP  
1362926;18;271.95;271.95;0.00;1507.62;18.6.1995;234752;E ;DP  
1362968;10;0.89;0.00;0.89;355.23;30.6.1995;235959;  ;IN  
1362766;39;1894.54;1894.54;0.00;26016.69;16.9.1995;83342;A ;DP  
1363167;17;3.32;0.00;3.32;1333.27;31.7.1995;235959;  ;IN  
1362777;8;-35.78;-35.78;0.00;35.78;2.4.1995;181320;B ;TR  
1363128;9;2.75;0.00;2.75;2203.42;30.9.1995;235959;  ;IN  
1363038;21;-536.10;-536.10;0.00;825.09;19.10.1995;202523;A ;TR  
1362759;14;0.00;0.00;0.00;1398.00;5.5.1995;131652;C ;IQ  
1362785;5;0.00;0.00;0.00;87.64;28.3.1995;113130;H ;IQ  
1362698;36;-140.00;-140.00;0.00;321.80;28.2.1995;154902;A ;WD  
1363455;11;0.32;0.00;0.32;255.33;30.11.1995;235959;  ;IN  
1362939;25;3.3;0.00;3.3;1213.31;31.8.1995;235959;  ;IN  
1363452;40;2.34;0.00;2.34;1874.79;31.12.1995;235959;  ;IN  
1363353;24;1.61;0.00;1.61;1288.91;31.3.1995;235959;  ;IN  
1362945;20;4.50;0.00;4.50;1804.89;30.6.1995;235959;  ;IN  
1362665;22;-292.16;-292.16;0.00;2055.68;16.8.1995;142042;B ;TR  
1363454;25;74.07;74.07;0.00;781.28;29.12.1995;20430;B ;DP  
1363290;15;-40.00;-40.00;0.00;2517.92;1.10.1995;220641;A ;WD  
1363270;7;1.39;0.00;1.39;558.75;31.7.1995;235959;  ;IN  
1362875;17;0.00;0.00;0.00;447.98;26.10.1995;193444;B ;IQ  
1362587;20;152.22;152.22;0.00;1487.18;1.8.1995;150624;E ;DP  
1363352;1;-20.00;-20.00;0.00;2019.40;2.1.1995;233954;A ;WD  
1363150;42;-40.00;-40.00;0.00;613.82;15.11.1995;22355;A ;WD  
1362883;15;-14.13;-14.13;0.00;14.12;10.9.1995;115811;B ;TR  
1363462;8;0.00;0.00;0.00;496.00;26.5.1995;110457;C ;IQ  
1363268;18;-423.58;-423.58;0.00;423.58;24.9.1995;190327;B ;TR  
1362550;5;0.00;0.00;0.00;643.47;27.4.1995;132539;C ;IQ  
1362650;32;70.97;70.97;0.00;315.41;21.12.1995;160010;A ;DP  
1362936;13;112.08;112.08;0.00;745.36;21.8.1995;195813;E ;DP  
1362505;30;-200.00;-200.00;0.00;490.23;30.9.1995;200656;A ;WD  
1362562;26;-140.00;-140.00;0.00;3753.34;21.10.1995;121543;A ;WD  
1362781;21;74.15;74.15;0.00;2790.36;11.12.1995;203858;B ;DP  
1362766;1;351.66;351.66;0.00;11704.59;3.1.1995;170220;A ;DP  
1362960;22;8.75;0.00;8.75;7011.33;31.8.1995;235959;  ;IN  
1362990;6;-0.75;-0.75;0.00;296.62;4.3.1995;200352;  ;FU  
1362838;36;160.31;160.31;0.00;547.15;8.9.1995;80530;A ;DP  
1363010;20;113.43;113.43;0.00;881.43;6.11.1995;162148;A ;DP  
1362588;8;0.34;0.00;0.34;274.19;31.3.1995;235959;  ;IN  
1363038;28;0.67;0.00;0.67;540.32;30.11.1995;235959;  ;IN  
1362860;31;3.39;0.00;3.39;2716.46;31.10.1995;235959;  ;IN  
1362986;10;1.77;0.00;1.77;711.01;31.8.1995;235959;  ;IN  
1362513;25;254.91;254.91;0.00;351.61;21.12.1995;214858;A ;DP  
1362705;18;1191.32;1191.32;0.00;1498.91;18.12.1995;            ;M ;DP  
1362980;27;128.51;128.51;0.00;640.74;27.12.1995;101652;B ;DP  
1362796;7;1.63;0.00;1.63;653.28;30.4.1995;235959;  ;IN  
1362623;12;0.18;0.00;0.18;140.72;30.11.1995;235959;  ;IN  
1363327;28;165.89;165.89;0.00;455.08;24.12.1995;180014;A ;DP  
1362736;6;2.70;0.00;2.70;2163.83;30.6.1995;235959;  ;IN  
1362589;32;1.4;0.00;1.4;833.68;31.12.1995;235959;  ;IN  
1363457;15;-151.89;-151.89;0.00;3006.10;28.7.1995;155814;B ;WD  
1363385;19;0.00;0.00;0.00;908.73;22.10.1995;81603;A ;IQ  
1363093;4;0.48;0.00;0.48;384.44;28.2.1995;235959;  ;IN  
1363091;7;2.90;0.00;2.90;2324.11;31.7.1995;235959;  ;IN  
1363216;34;-100.00;-100.00;0.00;731.48;13.12.1995;134422;A ;WD  
1363336;8;-312.93;-312.93;0.00;107.07;2.3.1995;82646;B ;WD  
1362480;14;1.36;0.00;1.36;1089.30;30.6.1995;235959;  ;IN  
1362525;8;0.56;0.00;0.56;445.54;28.2.1995;235959;  ;IN  
1362524;21;0.60;0.00;0.60;478.79;31.10.1995;235959;  ;IN  
1362995;10;-52.31;-52.31;0.00;52.31;4.3.1995;182055;C ;TR  
1362511;2;-200.00;-200.00;0.00;276.78;14.1.1995;122006;A ;WD  
1362643;15;0.64;0.00;0.64;514.20;31.7.1995;235959;  ;IN  
1363469;14;-80.00;-80.00;0.00;1884.94;18.6.1995;200949;A ;WD  
1363495;30;3.38;0.00;3.38;2706.36;30.11.1995;235959;  ;IN  
1362829;4;0.84;0.00;0.84;672.87;30.4.1995;235959;  ;IN  
1362978;36;0.15;0.00;0.15;121.33;30.11.1995;235959;  ;IN  
1363223;6;3.43;0.00;3.43;2750.19;31.3.1995;235959;  ;IN  
1363356;24;-305.27;-305.27;0.00;407.25;30.9.1995;81640;A ;TR  
1362697;4;125.14;125.14;0.00;685.96;15.3.1995;71340;A ;DP  
1362602;25;4.11;0.00;4.11;1647.57;31.7.1995;235959;  ;IN  
1363047;18;0.52;0.00;0.52;417.52;31.8.1995;235959;  ;IN  
1363334;27;-130.80;-130.80;0.00;20.58;27.12.1995;142003;A ;TR  
